tm,Tsp1,T1,Q1,P,ierr,D,iae
1,23.67,23.64,0.18,0.18,0,0,0.03
2,23.67,23.67,0,0,0,0,0.03
3,23.67,23.8,0,-0.78,0,0,0.16
4,23.67,23.8,0,-0.78,0,0,0.29
5,23.67,23.8,0,-0.78,0,0,0.42
6,23.67,23.8,0,-0.78,0,0,0.55
7,23.67,23.77,0,-0.6,0,0,0.65
8,23.67,23.8,0,-0.78,0,0,0.78
9,23.67,23.67,0,0,0,0,0.78
10,23.67,23.77,0,-0.6,0,0,0.88
11,23.67,23.77,0,-0.6,0,0,0.98
12,23.67,23.77,0,-0.6,0,0,1.08
13,23.67,23.77,0,-0.6,0,0,1.18
14,23.67,23.8,0,-0.78,0,0,1.31
15,23.67,23.73,0,-0.36,0,0,1.37
16,23.67,23.61,0.37,0.36,0.01,0,1.43
17,23.67,23.48,1.16,1.14,0.02,0,1.62
18,23.67,23.48,1.18,1.14,0.04,0,1.81
19,23.67,23.67,0.04,0,0.04,0,1.81
20,23.67,23.61,0.4,0.36,0.04,0,1.87
21.1,23.67,23.51,1.02,0.96,0.06,0,2.03
22.1,23.67,23.7,0,-0.18,0.06,0,2.06
23.1,23.67,23.77,0,-0.6,0.06,0,2.16
24.1,23.67,23.61,0.42,0.36,0.06,0,2.22
25.1,23.67,23.73,0,-0.36,0.06,0,2.28
26.1,23.67,23.77,0,-0.6,0.06,0,2.38
27.1,23.67,23.77,0,-0.6,0.06,0,2.48
28.1,23.67,23.73,0,-0.36,0.06,0,2.54
29.1,23.67,23.8,0,-0.78,0.06,0,2.67
30.1,23.67,23.48,1.22,1.14,0.08,0,2.86
31.1,41,23.54,100,104.76,0.08,0,20.32
32.1,41,23.73,100,103.62,0.08,0,37.59
33.1,41,23.73,100,103.62,0.08,0,54.86
34.1,41,23.8,100,103.2,0.08,0,72.06
35.1,41,23.8,100,103.2,0.08,0,89.26
36.1,41,23.8,100,103.2,0.08,0,106.46
37.1,41,23.8,100,103.2,0.08,0,123.66
38.1,41,23.8,100,103.2,0.08,0,140.86
39.1,41,23.8,100,103.2,0.08,0,158.06
40.1,41,23.83,100,103.02,0.08,0,175.23
41.1,41,23.96,100,102.24,0.08,0,192.27
42.1,41,24.12,100,101.28,0.08,0,209.15
43.1,41,24.12,100,101.28,0.08,0,226.03
44.1,41,24.22,100,100.68,0.08,0,242.81
45.1,41,24.44,100,99.36,0.08,0,259.37
46.1,41,24.44,100,99.36,0.08,0,275.93
47.1,41,24.77,98.75,97.38,1.37,0,292.16
48.1,41,24.77,100,97.38,1.37,0,308.39
49.1,41,25.09,98.12,95.46,2.66,0,324.3
50.1,41,25.12,99.21,95.28,3.93,0,340.18
51.1,41,25.41,98.72,93.54,5.18,0,355.77
52.1,41,25.6,98.81,92.4,6.41,0,371.17
53.1,41,25.73,99.25,91.62,7.63,0,386.44
54.1,41,26.05,98.53,89.7,8.83,0,401.39
55.1,41,26.22,98.69,88.68,10.01,0,416.17
56.1,41,26.38,98.9,87.72,11.18,0,430.79
57.1,41,26.7,98.13,85.8,12.33,0,445.09
58.1,41,26.92,97.94,84.48,13.46,0,459.17
59.1,41,27.02,98.45,83.88,14.57,0,473.15
60.1,41,27.34,97.63,81.96,15.67,0,486.81
61.1,41,27.67,96.72,79.98,16.74,0,500.14
62.1,41,27.96,96.02,78.24,17.78,0,513.18
63.1,41,28.18,95.73,76.92,18.81,0,526
64.1,41,28.31,95.97,76.14,19.83,0,538.69
65.1,41,28.63,95.04,74.22,20.82,0,551.06
66.1,41,28.96,94.02,72.24,21.78,0,563.1
67.2,41,29.28,93.05,70.32,22.73,0,574.82
68.2,41,29.6,92.04,68.4,23.64,0,586.22
69.2,41,29.7,92.34,67.8,24.54,0,597.52
70.2,41,29.92,91.91,66.48,25.43,0,608.6
71.2,41,30.24,90.86,64.56,26.3,0,619.36
72.2,41,30.57,89.71,62.58,27.13,0,629.79
73.2,41,30.89,88.61,60.66,27.95,0,639.9
74.2,41,31.21,87.47,58.74,28.73,0,649.69
75.2,41,31.53,86.32,56.82,29.5,0,659.16
76.2,41,31.86,85.07,54.84,30.23,0,668.3
77.2,41,32.11,84.29,53.34,30.95,0,677.19
78.2,41,32.47,82.81,51.18,31.63,0,685.72
79.2,41,32.63,82.52,50.22,32.3,0,694.09
80.2,41,32.85,81.86,48.9,32.96,0,702.24
81.2,41,33.14,80.75,47.16,33.59,0,710.1
82.2,41,33.47,79.37,45.18,34.19,0,717.63
83.2,41,33.79,78.03,43.26,34.77,0,724.84
84.2,41,34.11,76.66,41.34,35.32,0,731.73
85.2,41,34.43,75.27,39.42,35.85,0,738.3
86.2,41,34.72,74.03,37.68,36.35,0,744.58
87.2,41,34.79,74.11,37.26,36.85,0,750.79
88.2,41,35.08,72.85,35.52,37.33,0,756.71
89.2,41,35.4,71.38,33.6,37.78,0,762.31
90.2,41,35.69,70.06,31.86,38.2,0,767.62
91.2,41,35.98,68.73,30.12,38.61,0,772.64
92.2,41,36.21,67.73,28.74,38.99,0,777.43
93.2,41,36.4,66.96,27.6,39.36,0,782.03
94.2,41,36.69,65.56,25.86,39.7,0,786.34
95.2,41,37.01,63.96,23.94,40.02,0,790.33
96.2,41,37.17,63.31,22.98,40.33,0,794.16
97.2,41,37.33,62.64,22.02,40.62,0,797.83
98.3,41,37.66,60.93,20.04,40.89,0,801.17
99.3,41,37.91,59.68,18.54,41.14,0,804.26
100.3,41,38.01,59.32,17.94,41.38,0,807.25
101.3,41,38.3,57.8,16.2,41.6,0,809.95
102.3,41,38.62,56.07,14.28,41.79,0,812.33
103.3,41,38.91,54.5,12.54,41.96,0,814.42
104.3,41,39.01,54.06,11.94,42.12,0,816.41
105.3,41,39.27,52.64,10.38,42.26,0,818.14
106.3,41,39.59,50.83,8.46,42.37,0,819.55
107.3,41,39.91,49,6.54,42.46,0,820.64
108.3,41,39.91,49.08,6.54,42.54,0,821.73
109.3,41,40.23,47.23,4.62,42.61,0,822.5
110.3,41,40.52,45.52,2.88,42.64,0,822.98
111.3,41,40.56,45.32,2.64,42.68,0,823.42
112.3,41,40.88,43.41,0.72,42.69,0,823.54
113.3,41,40.91,43.24,0.54,42.7,0,823.63
114.3,41,41.2,41.48,-1.2,42.68,0,823.83
115.3,41,41.36,40.49,-2.16,42.65,0,824.19
116.3,41,41.52,39.49,-3.12,42.61,0,824.71
117.3,41,41.56,39.2,-3.36,42.56,0,825.27
118.3,41,41.85,37.4,-5.1,42.5,0,826.12
119.3,41,42.07,35.99,-6.42,42.41,0,827.19
120.3,41,42.17,35.3,-7.02,42.32,0,828.36
121.3,41,42.36,34.05,-8.16,42.21,0,829.72
122.3,41,42.49,33.15,-8.94,42.09,0,831.21
123.3,41,42.68,31.87,-10.08,41.95,0,832.89
124.3,41,42.81,30.95,-10.86,41.81,0,834.7
125.3,41,42.81,30.8,-10.86,41.66,0,836.51
126.3,41,43.04,29.26,-12.24,41.5,0,838.55
127.4,41,43.13,28.55,-12.78,41.33,0,840.68
128.4,41,43.17,28.13,-13.02,41.15,0,842.85
129.4,41,43.36,26.8,-14.16,40.96,0,845.21
130.4,41,43.46,26.01,-14.76,40.77,0,847.67
131.4,41,43.46,25.81,-14.76,40.57,0,850.13
132.4,41,43.62,24.64,-15.72,40.36,0,852.75
133.4,41,43.78,23.46,-16.68,40.14,0,855.53
134.4,41,43.78,23.23,-16.68,39.91,0,858.31
135.4,41,43.78,23.01,-16.68,39.69,0,861.09
136.4,41,44,21.45,-18,39.45,0,864.09
